Street,City,State,Latitude,Longitude
100 Maple St,Springfield,IL,39.767554,-89.6697914
200 E Oak St,Springfield,IL,39.7810497,-89.6563037
300 W Pine St,Springfield,IL,39.7859041,-89.6597695
400 E Cedar St,Springfield,IL,39.7849877,-89.6537219
500 Elm St,Springfield,IL,39.8109149,-89.6160919
600 E Birch St,New Berlin,IL,39.72612,-89.9084157
200 W Birch St,New Berlin,IL,39.7257741,-89.9160211
200 Elm St,Springfield,IL,39.676298,-89.8451024
900 E Spruce St,Springfield,IL,39.783969,-89.6466345
2100 S Bates Ave,Springfield,IL,39.7766376,-89.6796476
437 S Grand Ave W,Springfield,IL,39.7873195,-89.6631703
1850 Clay St,Springfield,IL,39.7915934,-89.6329308
5220 S 6th Street Frontage Rd E,Springfield,IL,39.7267256,-89.6450913
1400 Dogwood Ct,Sherman,IL,39.8853187,-89.6209973
1500 Cherry Rd,Springfield,IL,39.7767673,-89.6789163
1028 S Grand Ave W,Springfield,IL,39.7865681,-89.6716587
1399 Water St,Springfield,IL,39.8174417,-89.627635
1100 E Miller St,Springfield,IL,39.8083155,-89.6431908
1900 E Miller St,Springfield,IL,39.8082635,-89.6325536
100 E Spruce St,Springfield,IL,39.7838491,-89.6576035
200 E Cedar St,Springfield,IL,39.7849517,-89.6562157
530 W Fayette Ave,Springfield,IL,39.79132,-89.6648236
152 W Cornell Ave,Springfield,IL,39.7773665,-89.6575876
1065 Broughton Ave,Springfield,IL,39.8109057,-89.6721982
2212 Dunwich St,Springfield,IL,39.8240692,-89.6236322
